step,ce,loss,first_ce,avg_ponder,expected_steps,grad_norm_avg,avg_forget_cost,avg_storage_cost,diversity_loss,temporal_drift,forget_density,saturation
100,11.9022,23.8063,11.9202,2.9475,15.7222,18.6421,0.6998,3.8311,0.968728,20.970303,0.700937,94.9776
200,12.0220,24.0277,11.9789,0.9153,12.1175,20.6580,0.6904,3.3949,0.968719,20.478310,0.691061,40.4156
300,11.9878,23.9792,12.1228,1.4089,13.3263,18.9802,0.6984,3.4032,0.968727,20.814772,0.698799,57.1132
400,11.9670,23.9204,11.8724,0.9535,12.2709,20.0295,0.6973,3.7149,0.968719,20.689827,0.697794,34.2141
500,11.9281,23.8717,11.9419,3.2428,15.9788,19.3056,0.6939,3.7758,0.968729,20.943844,0.694587,99.6624
600,11.9030,23.7986,11.8563,2.9678,15.7386,19.3618,0.6893,3.8049,0.968726,20.920374,0.689367,95.2308
700,11.8948,23.7689,11.5820,3.1721,15.9232,19.0226,0.6954,3.3396,0.968717,20.329777,0.696176,98.6919
800,11.8518,23.6950,11.7019,2.4295,15.0504,19.0367,0.6935,3.4810,0.968721,20.477898,0.693281,84.4107
900,11.7739,23.5724,11.9892,2.9484,15.6998,20.2837,0.6984,3.5962,0.968736,20.551344,0.698426,94.9725
1000,11.8313,23.6504,12.2164,2.9808,15.7356,19.1177,0.7038,4.0099,0.968731,21.235935,0.704017,95.4802
1100,11.7697,23.5346,11.7649,2.5091,15.2414,18.8946,0.6921,3.8113,0.968726,20.463175,0.692625,85.5301
1200,11.7691,23.5161,11.7909,2.7891,15.5109,18.9049,0.7026,3.8177,0.968734,21.114618,0.702092,91.8722
1300,11.7244,23.4423,11.6651,0.3427,8.1269,19.7336,0.6970,3.9886,0.968735,20.872959,0.697683,1.5647
1400,11.6790,23.3723,11.6060,0.5881,11.3602,18.7952,0.6882,3.7357,0.968728,20.579165,0.688843,24.8984
1500,11.6477,23.3090,11.6240,3.1842,15.9354,19.1684,0.6981,3.8294,0.968737,20.972395,0.698112,98.8929
1600,11.6538,23.2993,11.5948,0.4219,7.3340,18.1712,0.6948,3.7571,0.968728,21.106668,0.695535,1.4062
