step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
100,11.8674,11.8674,1.01,0.8292,0.18,0.0002,0.1812,3.3226,0.7130,2.0471,4.5621,5.0126,0.4160,0.9998,1.0680,0.8057,2.5150,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
200,11.8109,11.8109,2.03,0.8615,0.19,0.0005,0.1837,-0.3159,0.6534,-1.6420,0.8819,6.0250,0.2160,0.9998,1.5441,0.8135,2.5239,0.4821
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
300,11.8600,11.8600,1.01,0.8071,0.19,0.0002,0.1872,3.9487,1.0960,1.3918,5.1757,5.0082,0.4274,0.9998,1.3340,0.7700,3.7839,0.4821
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
400,12.0022,12.0022,1.01,0.7890,0.19,0.0002,0.1871,4.2610,0.5875,3.0984,5.0408,5.0071,0.4263,0.9998,0.5147,0.7754,1.9424,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
500,11.9000,11.9000,1.06,0.6827,0.19,0.0004,0.1860,1.7622,0.5980,0.7343,2.8900,5.0561,0.3674,0.9998,1.3919,0.6743,2.1558,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
600,12.0351,12.0351,1.12,0.8750,0.19,0.0002,0.1833,1.4587,0.5120,0.6319,2.4157,5.1218,0.3517,0.9998,0.6220,0.8623,1.7839,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
700,11.9206,11.9206,1.80,0.9538,0.19,0.0002,0.1840,-0.0875,0.7317,-2.3480,1.1170,5.8021,0.2501,0.9997,0.6599,0.9414,3.4650,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
800,11.8505,11.8505,1.08,0.6095,0.19,0.0002,0.1818,2.5618,0.6645,1.0908,3.7374,5.0795,0.3997,0.9997,0.8684,0.6050,2.6466,0.4819
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
900,11.9467,11.9467,1.34,0.9205,0.19,0.0002,0.1825,0.6219,0.7973,-0.3229,2.4064,5.3358,0.3136,0.9997,0.9931,0.8926,2.7292,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1000,11.9335,11.9335,1.08,0.7682,0.19,0.0004,0.1819,1.5659,0.7652,0.4341,2.6362,5.0758,0.3594,0.9997,1.0771,0.7476,2.2021,0.4819
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1100,12.1471,12.1471,1.19,0.9005,0.19,0.0002,0.1830,0.4217,0.7409,-0.7976,1.7784,5.1857,0.3034,0.9997,0.7392,0.8892,2.5760,0.4819
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1200,12.0951,12.0951,1.70,0.8842,0.19,0.0002,0.1829,-0.2561,0.6469,-1.4424,1.0529,5.6996,0.2297,0.9997,1.1119,0.8628,2.4953,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1300,12.0053,12.0053,1.04,0.6351,0.19,0.0002,0.1825,2.6649,0.5344,1.8202,3.4346,5.0448,0.4060,0.9997,1.1300,0.6299,1.6144,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1400,11.8429,11.8429,1.05,0.6997,0.18,0.0001,0.1812,2.5444,0.4246,1.6205,3.0288,5.0491,0.3984,0.9997,1.2034,0.6836,1.4083,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1500,12.0809,12.0809,4.60,0.9120,0.19,0.0002,0.1849,-1.8036,0.5146,-2.6142,-0.6794,8.6005,0.0921,0.9998,0.6157,0.9043,1.9348,0.4821
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1600,11.8898,11.8898,1.03,0.9376,0.19,0.0002,0.1835,2.7390,0.5378,1.6425,3.6896,5.0339,0.4082,0.9998,1.1377,0.9072,2.0470,0.4821
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1700,11.9592,11.9592,1.07,0.8455,0.19,0.0002,0.1833,1.1704,0.7399,0.2262,2.7544,5.0714,0.3284,0.9998,0.9830,0.8306,2.5282,0.4821
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1800,12.0030,12.0030,1.02,0.6187,0.19,0.0002,0.1864,3.9861,0.8216,2.7971,5.2665,5.0151,0.4257,0.9998,2.2423,0.5991,2.4694,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
1900,11.9515,11.9515,5.75,0.8477,0.19,0.0002,0.1837,-1.6643,0.5765,-2.7597,-0.0770,9.7472,0.0778,0.9997,1.2486,0.8301,2.6827,0.4820
step,loss,ce,avg_ponder,avg_forget_cost,t_total,data_wait,compute_time,logits_mean,logits_std,logits_min,logits_max,prob_mean,prob_std,saturation,temporal_drift,forget_density,logit_spread,diversity_loss
2000,12.0295,12.0295,1.11,0.6438,0.19,0.0001,0.1858,1.7460,0.3507,1.0089,2.2788,5.1060,0.3750,0.9996,1.5223,0.6328,1.2698,0.4818
